filenumber,title,authors,keyword1,keyword2,keyword3,keyword4,keyword5,X,Y,cluster,cluster top keyword 1,cluster top keyword 2,cluster top keyword 3,cluster top keyword 4,cluster top keyword 5
608,iVisClassifier: An interactive visual analytics system for classification based on supervised dimension reduction,Jaegul Choo;Hanseung Lee;Jaeyeon Kihm;Haesun Park,5,10,1,2,3,-47.103904,41.264114,5,interact,user,explor,method,view
609,finding and visualizing relevant subspaces for clustering high-dimensional astronomical data using connected morphological operators,"Ferdosi, B.J.;Buddelmeijer, H.;Trager, S.;Wilkinson, M.H.F.;Roerdink, J.B.T.",5,8,7,1,2,-50.088805,39.865292,5,interact,user,explor,method,view
610,Flow-based scatterplots for sensitivity analysis,"Yu-Hsuan Chan;Correa, C.;Kwan-Liu Ma",8,5,6,3,1,69.823268,6.594634,8,field,flow,vector,method,tensor
611,Anomaly detection in GPS data based on visual analytics,Zicheng Liao;Yizhou Yu;Baoquan Chen,9,10,8,3,1,41.726983,6.639665,9,model,simul,interact,base,view
612,Discovering bits of place histories from people's activity traces,"Andrienko, G.;Andrienko, N.;Mladenov, M.;Mock, M.;Politz, C.",5,6,2,10,9,-24.338135,35.256163,5,interact,user,explor,method,view
613,A visual analytics approach to model learning,"Garg, S.;Ramakrishnan, I.;Mueller, K.",9,10,5,4,8,45.19612,3.196849,9,model,simul,interact,base,view
614,Multidimensional data dissection using attribute relationship graphs,"Weaver, C.",5,2,4,6,9,-29.329509,56.300889,5,interact,user,explor,method,view
615,Visual market sector analysis for financial time series data,"Ziegler, H.;Jenny, M.;Gruse, T.;Keim, D.A.",5,6,10,4,1,-25.192834,49.865552,5,interact,user,explor,method,view
616,Two-stage framework for a topology-based projection and visualization of classified document collections,"Oesterling, P.;Scheuermann, G.;Teresniak, S.;Heyer, G.;Koch, S.;Ertl, T.;Weber, G.H.",3,5,8,7,1,12.017836,-12.638945,3,inform,displai,map,space,color
617,Understanding text corpora with multiple facets,"Shi, L.;Furu Wei;Shixia Liu;Li Tan;Xiaoxiao Lian;Zhou, M.X.",9,5,2,3,4,23.063522,1.22186,9,model,simul,interact,base,view
618,VizCept: Supporting synchronous collaboration for constructing visualizations in intelligence analysis,"Haeyong Chung;Seungwon Yang;Massjouni, N.;Andrews, C.;Kanna, R.;North, C.",2,10,6,4,9,-1.386445,26.077568,2,design,tool,analyt,user,inform
619,Diamonds in the rough: Social media visual analytics for journalistic inquiry,"Diakopoulos, N.;Naaman, M.;Kivran-Swaine, F.",2,10,5,6,1,4.609041,21.709964,2,design,tool,analyt,user,inform
620,Visual readability analysis: How to make your writings easier to read,"Oelke, D.;Spretke, D.;Stoffel, A.;Keim, D.A.",2,5,10,6,3,-3.019699,20.65514,2,design,tool,analyt,user,inform
621,NetClinic: Interactive visualization to enhance automated fault diagnosis in enterprise networks,"Zhicheng Liu;Bongshin Lee;Kandula, S.;Mahajan, R.",10,4,2,1,3,4.006291,57.522078,10,system,interact,user,inform,explor
622,"Geo-historical context support for information foraging and sensemaking: Conceptual model, implementation, and assessment","Tomaszewski, B.;MacEachren, A.M.",3,2,10,9,1,15.077784,-8.484234,3,inform,displai,map,space,color
623,Real-time aggregation of Wikipedia data for visual analytics,"Boukhelifa, N.;Chevalier, F.;Fekete, J.",2,6,3,1,7,0.312893,15.494787,2,design,tool,analyt,user,inform
624,Click2Annotate: Automated Insight Externalization with rich semantics,"Yang Chen;Barlowe, S.;Jing Yang",2,5,10,9,6,-7.794081,24.992136,2,design,tool,analyt,user,inform
625,Interactive querying of temporal data using a comic strip metaphor,"Jing Jin;Szekely, P.",10,2,5,1,3,6.779546,58.067825,10,system,interact,user,inform,explor
626,A closer look at note taking in the co-located collaborative visual analytics process,"Mahyar, N.;Sarvghad, A.;Tory, M.",2,10,9,1,3,-3.935976,26.696575,2,design,tool,analyt,user,inform
627,An exploratory study of co-located collaborative visual analytics around a tabletop display,"Isenberg, P.;Fisher, D.;Morris, M.R.;Inkpen, K.;Czerwinski, M.",10,2,1,3,4,1.195132,36.249164,10,system,interact,user,inform,explor
628,Helping users recall their reasoning process,"Lipford, H.R.;Stukes, F.;Wenwen Dou;Hawkins, M.E.;Chang, R.",5,2,10,1,3,-23.914323,40.777627,5,interact,user,explor,method,view
629,Comparing different levels of interaction constraints for deriving visual problem isomorphs,"Wenwen Dou;Ziemkiewicz, C.;Harrison, L.;Dong Hyun Jeong;Ryan, R.;Ribarsky, W.;Xiaoyu Wang;Chang, R.",10,5,9,1,2,-1.090189,53.641652,10,system,interact,user,inform,explor
630,Towards the Personal Equation of Interaction: The impact of personality factors on visual analytics interface interaction,"Green, T.M.;Fisher, B.",10,5,2,9,1,-0.26118,51.752449,10,system,interact,user,inform,explor
631,Poster: Dynamic time transformation for interpreting clusters of trajectories with space-time cube,"Andrienko, G.;Andrienko, N.",6,5,1,2,3,-26.809132,-3.946153,6,set,techniqu,larg,present,task
632,Interactive visual analysis of multiobjective optimizations,"Berger, W.;Piringer, H.",10,6,2,5,9,14.089949,40.11493,10,system,interact,user,inform,explor
633,Cluster correspondence views for enhanced analysis of SOM displays,"Bernard, J.;von Landesberger, T.;Bremm, S.;Schreck, T.",5,7,4,8,10,-49.730659,37.412203,5,interact,user,explor,method,view
634,Visualization of temporal relationships within coordinated views,"Dudzic, S.;Godwin, J.A.;Kilgore, R.M.",5,2,10,9,1,-24.094384,41.054083,5,interact,user,explor,method,view
635,Conveying network features in geospatial battlespace displays,"Godwin, J.A.;Kilgore, R.M.",3,4,2,9,10,6.444614,-9.137539,3,inform,displai,map,space,color
636,ALIDA: Using machine learning for intent discernment in visual analytics interfaces,"Green, T.M.;Maciejewski, R.;DiPaola, S.",5,10,2,1,3,-7.624376,53.156314,5,interact,user,explor,method,view
637,Enhancing text-based chat with visuals for hazardous weather decision making,"Gutman, M.;Eosco, G.;Zappa, M.;Weaver, C.",3,10,5,2,9,2.766011,-10.859441,3,inform,displai,map,space,color
638,Visual analysis of frequent patterns in large time series,"Hao, M.C.;Marwah, M.;Janetzko, H.;Keim, D.A.;Dayal, U.;Sharma, R.;Patnaik, D.;Ramakrishnan, N.",6,5,4,7,8,-28.356921,1.324726,6,set,techniqu,larg,present,task
639,Visually representing geo-temporal differences,"Hoeber, O.;Wilson, G.;Harding, S.;Enguehard, R.;Devillers, R.",5,6,1,2,3,-27.298245,36.607535,5,interact,user,explor,method,view
640,A continuous analysis process between desktop and collaborative visual analytics environments,"Dong Hyun Jeong;Suma, E.;Butkiewicz, T.;Ribarsky, W.;Chang, R.",10,2,1,3,4,0.948867,36.468327,10,system,interact,user,inform,explor
641,EmailTime: Visual analytics of emails,"Joorabchi, M.E.;Ji-Dong Yim;Shaw, C.",3,5,4,2,1,4.532298,-5.898913,3,inform,displai,map,space,color
642,Enron case study: Analysis of email behavior using EmailTime,"Joorabchi, M.E.;Ji-Dong Yim;Joorabchi, M.E.;Shaw, C.",5,2,6,1,3,-25.844897,39.893069,5,interact,user,explor,method,view
643,Large-scale neuroanatomical visualization using a manifold embedding approach,"Joshi, S.H.;Bowman, I.;Van Horn, J.D.",10,5,7,3,1,8.653791,56.885517,10,system,interact,user,inform,explor
644,"Combining statistical independence testing, visual attribute selection and automated analysis to find relevant attributes for classification","May, T.;Davey, J.;Kohlhammer, J.",5,6,3,7,2,-38.419324,37.998367,5,interact,user,explor,method,view
645,Visual tools for dynamic analysis of complex situations,"Mokhtari, M.;Boivin, E.;Laurendeau, D.;Girardin, M.",5,10,9,2,1,-31.006305,37.259323,5,interact,user,explor,method,view
646,Data representation and exploration with Geometric Wavelets,"Monson, E.E.;Guangliang Chen;Brady, R.;Maggioni, M.",5,6,9,1,2,-30.458022,43.17122,5,interact,user,explor,method,view
647,Poster: Translating cross-filtered queries into questions,"Nafari, M.;Weaver, C.",5,10,2,1,3,-30.261665,54.176135,5,interact,user,explor,method,view
648,ProDV &#x2014; A case study in delivering visual analytics,"Overby, D.;Keyser, J.;Wall, J.",10,2,9,4,1,5.765321,55.738328,10,system,interact,user,inform,explor
649,A Visual Analytics approach to identifying protein structural constraints,"Ray, W.C.",5,2,4,8,6,-45.886248,15.270316,5,interact,user,explor,method,view
650,A radial visualization tool for depicting hierarchically structured video content,"Ruppert, T.;Kohlhammer, J.",10,6,2,3,1,20.72421,42.844338,10,system,interact,user,inform,explor
651,Adapting Daniel and Wood's modeling approach to interactive visual analytics,"Talbot, J.;Hanrahan, P.",9,10,1,2,3,38.014354,2.683769,9,model,simul,interact,base,view
652,"""Search, Show Context, Expand on Demand"": Supporting Large Graph Exploration with Degree-of-Interest","van Ham, F.;Perer, A.",4,5,10,2,3,-58.752885,-6.673527,4,graph,network,node,layout,edg
653,A Comparison of User-Generated and Automatic Graph Layouts,"Dwyer, T.;Bongshin Lee;Fisher, D.;Quinn, K.I.;Isenberg, P.;Robertson, G.;North, C.",4,5,10,7,2,-52.176377,-2.494702,4,graph,network,node,layout,edg
654,A Multi-Threading Architecture to Support Interactive Visual Exploration,"Piringer, H.;Tominski, C.;Muigg, P.;Berger, W.",10,5,2,1,3,1.350289,52.348036,10,system,interact,user,inform,explor
655,A Nested Model for Visualization Design and Validation,"Munzner, T.",9,2,7,6,1,35.179124,-5.15731,9,model,simul,interact,base,view
656,ABySS-Explorer: Visualizing Genome Sequence Assemblies,"Nielsen, C.B.;Jackman, S.D.;Birol, I.;Jones, S.J.M.",2,5,4,9,7,8.469877,17.45369,2,design,tool,analyt,user,inform
657,ActiviTree: Interactive Visual Exploration of Sequences in Event-Based Data Using Graph Similarity,"Vrotsou, K.;Johansson, J.;Cooper, M.",5,6,10,4,1,-26.704227,49.874314,5,interact,user,explor,method,view
658,Bubble Sets: Revealing Set Relations with Isocontours over Existing Visualizations,"Collins, C.;Penn, G.;Carpendale, S.",6,1,2,3,4,-38.04898,-8.328015,6,set,techniqu,larg,present,task
659,code_swarm: A Design Study in Organic Software Visualization,"Ogawa, M.;Kwan-Liu Ma",2,3,1,4,5,9.766456,19.547256,2,design,tool,analyt,user,inform
660,Comparing Dot and Landscape Spatializations for Visual Memory Differences,"Tory, M.;Swindells, C.;Dreezer, R.",3,6,2,5,10,-5.894543,-9.356729,3,inform,displai,map,space,color
661,Configuring Hierarchical Layouts to Address Research Questions,"Slingsby, A.;Dykes, J.;Wood, J.",3,5,4,6,1,-5.161934,-13.268291,3,inform,displai,map,space,color
662,Conjunctive Visual Forms,"Weaver, C.",5,9,1,2,3,-31.197709,52.692737,5,interact,user,explor,method,view
663,Constructing Overview + Detail Dendrogram-Matrix Views,"Jin Chen;MacEachren, A.M.;Peuquet, D.",5,4,3,8,7,-32.627062,24.557321,5,interact,user,explor,method,view
664,Document Cards: A Top Trumps Visualization for Documents,"Strobelt, H.;Oelke, D.;Rohrdantz, C.;Stoffel, A.;Keim, D.A.;Deussen, O.",1,3,6,5,8,-27.355516,-34.566563,1,volum,render,imag,base,techniqu
665,Exemplar-based Visualization of Large Document Corpus,Yanhua Chen;Lijun Wang;Ming Dong;Jing Hua,6,3,9,5,4,-31.843171,-1.793618,6,set,techniqu,larg,present,task
666,Flow Mapping and Multivariate Visualization of Large Spatial Interaction Data,Diansheng Guo,8,4,5,10,1,69.467588,15.975085,8,field,flow,vector,method,tensor
667,FromDaDy: Spreading Aircraft Trajectories Across Views to Support Iterative Queries,"Hurter, C.;Tissoires, B.;Conversy, S.",5,2,1,3,4,-25.525556,55.391816,5,interact,user,explor,method,view
668,GeneShelf: A Web-based Visual Interface for Large Gene Expression Time-Series Data Repositories,"Bohyoung Kim;Bongshin Lee;Knoblach, S.;Hoffman, E.;Jinwook Seo",5,6,2,1,3,-39.285452,50.553572,5,interact,user,explor,method,view
669,Harnessing the Information Ecosystem with Wiki-based Visualization Dashboards,"McKeon, M.",2,10,5,3,1,7.335354,22.619621,2,design,tool,analyt,user,inform
670,Interaction Techniques for Selecting and Manipulating Subgraphs in Network Visualizations,"McGuffin, M.J.;Jurisica, I.",6,4,10,5,1,-22.966613,6.60402,6,set,techniqu,larg,present,task
671,Interactive Dimensionality Reduction Through User-defined Combinations of Quality Metrics,"Johansson, S.;Johansson, J.",10,5,6,4,3,9.419535,52.330451,10,system,interact,user,inform,explor
672,Lark: Coordinating Co-located Collaboration with Information Visualization,"Tobiasz, M.;Isenberg, P.;Carpendale, S.",10,3,5,9,1,2.423923,50.792674,10,system,interact,user,inform,explor
673,Mapping Text with Phrase Nets,"van Ham, F.;Wattenberg, M.;Viegas, F.B.",4,6,3,5,1,-54.638674,-0.000228,4,graph,network,node,layout,edg
674,MizBee: A Multiscale Synteny Browser,"Meyer, M.;Munzner, T.;Pfister, H.",5,8,6,2,10,-32.727416,31.484058,5,interact,user,explor,method,view
675,Participatory Visualization with Wordle,"Viegas, F.B.;Wattenberg, M.;Feinberg, J.",2,3,5,4,6,-3.290761,10.594907,2,design,tool,analyt,user,inform
676,Protovis: A Graphical Toolkit for Visualization,"Bostock, M.;Heer, J.",10,1,2,3,4,23.154841,55.287615,10,system,interact,user,inform,explor
677,ResultMaps: Visualization for Search Interfaces,"Clarkson, E.;Desai, K.;Foley, J.D.",10,3,4,2,6,5.005017,60.871614,10,system,interact,user,inform,explor
678,Scattering Points in Parallel Coordinates,Xiaoru Yuan;Peihong Guo;He Xiao;Hong Zhou;Huamin Qu,5,2,6,10,7,-32.139835,31.155436,5,interact,user,explor,method,view
679,SellTrend: Inter-Attribute Visual Analysis of Temporal Transaction Data,"Zhicheng Liu;Stasko, J.;Sullivan, T.",10,6,2,1,3,13.556239,49.821343,10,system,interact,user,inform,explor
680,Smooth Graphs for Visual Exploration of Higher-Order State Transitions,"Blaas, J.;Botha, C.P.;Grundy, E.;Jones, M.;Laramee, R.S.;Post, F.H.",5,4,8,7,1,-26.608784,24.441532,5,interact,user,explor,method,view
681,Spatiotemporal Analysis of Sensor Logs using Growth Ring Maps,"Bak, P.;Mansmann, F.;Janetzko, H.;Keim, D.A.",6,5,3,8,4,-16.908691,-1.033239,6,set,techniqu,larg,present,task
682,SpicyNodes: Radial Layout Authoring for the General Public,"Douma, M.;Ligierko, G.;Ancuta, O.;Gritsai, P.;Liu, S.",4,3,10,1,2,-56.893708,1.133243,4,graph,network,node,layout,edg
683,"Temporal Summaries: Supporting Temporal Categorical Searching, Aggregation and Comparison","Wang, T.D.;Plaisant, C.;Shneiderman, B.;Spring, N.;Roseman, D.;Marchand, G.;Mukherjee, V.;Smith, M.",5,6,2,1,3,-22.640881,35.271653,5,interact,user,explor,method,view
684,The Benefits of Synchronous Collaborative Information Visualization: Evidence from an Experimental Evaluation,"Bresciani, S.;Eppler, M.J.",3,2,10,4,5,6.340796,-0.449292,3,inform,displai,map,space,color
685,Towards Utilizing GPUs in Information Visualization: A Model and Implementation of Image-Space Operations,"McDonnel, B.;Elmqvist, N.",3,9,1,8,2,5.29421,-9.971742,3,inform,displai,map,space,color
686,Visual Analysis of Inter-Process Communication for Large-Scale Parallel Computing,"Muelder, C.;Gygi, F.;Kwan-Liu Ma",10,6,3,4,1,19.771288,32.444682,10,system,interact,user,inform,explor
687,Visualizing Social Photos on a Hasse Diagram for Eliciting Relations and Indexing New Photos,"Crampes, M.;de Oliveira-Kumar, J.;Ranwez, S.;Villerd, J.",5,3,4,2,10,-20.843576,43.772976,5,interact,user,explor,method,view
688,Visualizing the Intellectual Structure with Paper-Reference Matrices,"Jian Zhang;Chen, C.;Jiexun Li",4,3,8,10,9,-54.106061,7.007858,4,graph,network,node,layout,edg
689,A Novel Interface for Interactive Exploration of DTI fibers,"Wei Chen;Zi'ang Ding;Song Zhang;MacKay-Brandt, A.;Correia, S.;Huamin Qu;Crow, J.A.;Tate, D.F.;Zhicheng Yan;Qunsheng Peng",5,1,7,8,2,-36.119518,44.942809,5,interact,user,explor,method,view
690,A Physiologically-based Model for Simulation of Color Vision Deficiency,"Machado, G..;Oliveira, M.M.;Fernandes, L.A.F.",9,3,1,2,4,28.022573,-5.444671,9,model,simul,interact,base,view
691,A User Study to Compare Four Uncertainty Visualization Methods for 1D and 2D Datasets,"Sanyal, J.;Song Zhang;Bhattacharya, G.;Amburn, P.;Moorhead, R.J.",6,3,2,5,7,-37.76682,-14.043431,6,set,techniqu,larg,present,task
692,A Visual Approach to Efficient Analysis and Quantification of Ductile Iron and Reinforced Sprayed Concrete,"Fritz, L.;Hadwiger, M.;Geier, G.;Pittino, G.;Groller, E.",1,10,2,5,8,-43.839107,-58.745803,1,volum,render,imag,base,techniqu
693,An interactive visualization tool for multi-channel confocal microscopy data in neurobiology research,"Yong Wan;Otsuna, H.;Chi-Bin Chien;Hansen, C.",1,10,5,6,2,-38.453126,-54.867362,1,volum,render,imag,base,techniqu
694,Applying Manifold Learning to Plotting Approximate Contour Trees,"Takahashi, S.;Fujishiro, I.;Okada, M.",1,5,7,8,6,-19.182994,-40.219917,1,volum,render,imag,base,techniqu
695,Automatic Transfer Function Generation Using Contour Tree Controlled Residue Flow Model and Color Harmonics,"Jianlong Zhou;Takatsuka, M.",1,8,9,4,6,-47.436916,-48.69064,1,volum,render,imag,base,techniqu
696,BrainGazer - Visual Queries for Neurobiology Research,"Bruckner, S.;Solteszova, V.;Groller, E.;Hladuvka, J.;Buhler, K.;Yu, J.Y.;Dickson, B.J.",10,1,6,3,9,16.112461,53.345322,10,system,interact,user,inform,explor
697,Color Seamlessness in Multi-Projector Displays Using Constrained Gamut Morphing,"Sajadi, B.;Lazarov, M.;Gopi, M.;Majumder, A.",3,7,1,8,2,-2.509479,-22.37591,3,inform,displai,map,space,color
698,Coloring 3D Line fields Using Boy's Real Projective Plane Immersion,"Demiralp, C.;Hughes, J.F.;Laidlaw, D.H.",7,8,6,1,2,24.087687,-32.832608,7,surfac,method,mesh,algorithm,model
699,Comparing 3D Vector field Visualization Methods: A User Study,"Forsberg, A.;Jian Chen;Laidlaw, D.H.",8,7,5,2,3,80.661552,-15.885099,8,field,flow,vector,method,tensor
700,Continuous Parallel Coordinates,"Heinrich, J.;Weiskopf, D.",9,8,7,5,6,31.297747,-2.830869,9,model,simul,interact,base,view
701,Curve-Centric Volume Reformation for Comparative Visualization,"Lampe, O.D.;Correa, C.;Kwan-Liu Ma;Hauser, H.",1,8,6,2,3,-33.024209,-55.814367,1,volum,render,imag,base,techniqu
702,Decoupling Illumination from Isosurface Generation Using 4D Light Transport,"Banks, D.C.;Beason, K.",1,8,7,5,2,-17.716506,-38.398092,1,volum,render,imag,base,techniqu
703,Depth-Dependent Halos: Illustrative Rendering of Dense Line Data,"Everts, M.H.;Bekker, H.;Roerdink, J.B.T.;Isenberg, T.",1,8,6,3,4,-25.41338,-50.315145,1,volum,render,imag,base,techniqu
704,Exploring 3D DTI fiber Tracts with Linked 2D Representations,"Jianu, R.;Demiralp, C.;Laidlaw, D.H.",5,9,4,7,8,-35.006047,44.091688,5,interact,user,explor,method,view
705,Exploring the Millennium Run - Scalable Rendering of Large-Scale Cosmological Datasets,"Fraedrich, R.;Schneider, J.;Westermann, R.",1,8,5,7,6,-16.440027,-47.847527,1,volum,render,imag,base,techniqu
706,Focus+Context Route Zooming and Information Overlay in 3D Urban Environments,Huamin Qu;Haomian Wang;Weiwei Cui;Yingcai Wu;Ming-Yuen Chan,3,5,6,7,1,4.31777,-13.931057,3,inform,displai,map,space,color
707,GL4D: A GPU-based Architecture for Interactive 4D Visualization,"Chu, A.;Chi-Wing Fu;Hanson, A.J.;Pheng-Ann Heng",1,10,2,3,4,-27.576322,-69.917244,1,volum,render,imag,base,techniqu
708,"High-Quality, Semi-Analytical Volume Rendering for AMR Data","Marchesin, S.;de Verdiere, G.C.",1,7,8,2,3,-38.361455,-41.221788,1,volum,render,imag,base,techniqu
709,Hue-Preserving Color Blending,"Chuang, J.;Weiskopf, D.;Moller, T.",1,3,2,4,5,-10.902997,-22.106001,1,volum,render,imag,base,techniqu
710,Interactive Coordinated Multiple-View Visualization of Biomechanical Motion Data,"Keefe, D.F.;Ewert, M.;Ribarsky, W.;Chang, R.",5,6,2,9,1,-27.925355,53.508034,5,interact,user,explor,method,view
711,Interactive Streak Surface Visualization on the GPU,"Burger, K.;Ferstl, F.;Theisel, H.;Westermann, R.",7,1,2,3,4,28.382846,-54.89996,7,surfac,method,mesh,algorithm,model
712,Interactive Visual Analysis of Complex Scientific Data as Families of Data Surfaces,"Matkovic, K.;Gracanin, D.;Klarin, B.;Hauser, H.",7,10,5,9,1,26.265912,-51.334739,7,surfac,method,mesh,algorithm,model
713,Interactive Visual Optimization and Analysis for RfiD Benchmarking,"Yingcai Wu;Ka-Kei Chung;Huamin Qu;Xiaoru Yuan;Cheung, S.C.",6,10,1,2,3,-22.636567,4.38592,6,set,techniqu,larg,present,task
714,Interactive Visualization of Molecular Surface Dynamics,"Krone, M.;Bidmon, K.;Ertl, T.",7,10,1,8,5,30.059031,-46.279705,7,surfac,method,mesh,algorithm,model
715,Interactive Volume Rendering of Functional Representations in Quantum Chemistry,"Yun Jang;Varetto, U.",1,2,10,8,9,-40.359815,-50.465315,1,volum,render,imag,base,techniqu
716,Intrinsic Geometric Scale Space by Shape Diffusion,Guangyu Zou;Jing Hua;Zhaoqiang Lai;Xianfeng Gu;Ming Dong,7,8,3,5,1,21.960431,-38.845294,7,surfac,method,mesh,algorithm,model
717,Isosurface Extraction and View-Dependent filtering from Time-Varying fields Using Persistent Time-Octree (PTOT),Cong Wang;Yi-Jen Chiang,8,5,1,4,7,57.633825,-11.121921,8,field,flow,vector,method,tensor
718,Kd-Jump: a Path-Preserving Stackless Traversal for Faster Isosurface Raytracing on GPUs,"Hughes, D.M.;Ik Soo Lim",1,4,8,7,2,-24.12761,-44.64398,1,volum,render,imag,base,techniqu
719,Loop surgery for volumetric meshes: Reeb graphs reduced to contour trees,"Tierny, J.;Gyulassy, A.;Simon, E.;Pascucci, V.",4,7,6,1,8,-55.799689,-7.193207,4,graph,network,node,layout,edg
720,"Mapping High-fidelity Volume Rendering for Medical Imaging to CPU, GPU and Many-Core Architectures","Smelyanskiy, M.;Holmes, D.;Chhugani, J.;Larson, A.;Carmean, D.M.;Hanson, D.;Dubey, P.;Augustine, K.;Daehyun Kim;Kyker, A.;Lee, V.W.;Nguyen, A.D.;Seiler, L.;Robb, R.",1,2,3,4,5,-24.056477,-59.284659,1,volum,render,imag,base,techniqu
721,Markerless View-Independent Registration of Multiple Distorted Projectors on Extruded Surfaces Using an Uncalibrated Camera,"Sajadi, B.;Majumder, A.",7,6,3,1,2,26.077095,-43.767022,7,surfac,method,mesh,algorithm,model
722,Multi-Scale Surface Descriptors,"Cipriano, G.;Phillips, G.N.;Gleicher, M.",7,2,1,3,4,30.779414,-48.826007,7,surfac,method,mesh,algorithm,model
723,Multimodal Vessel Visualization of Mouse Aorta PET/CT Scans,"Ropinski, T.;Hermann, S.;Reich, R.;Schafers, M.;Hinrichs, K.",10,6,2,4,1,16.342227,51.621591,10,system,interact,user,inform,explor
724,Parameter Sensitivity Visualization for DTI fiber Tracking,"Brecheisen, R.;Vilanova, A.;Platel, B.;ter Haar Romenij, B.",5,2,3,1,4,-21.926334,46.217054,5,interact,user,explor,method,view
725,Perception-Based Transparency Optimization for Direct Volume Rendering,Ming-Yuen Chan;Yingcai Wu;Wai-Ho Mak;Wei Chen;Huamin Qu,1,2,3,4,5,-25.598965,-66.674984,1,volum,render,imag,base,techniqu
726,Predictor-Corrector Schemes for Visualization ofSmoothed Particle Hydrodynamics Data,"Schindler, B.;Fuchs, R.;Biddiscombe, J.;Peikert, R.",7,8,9,1,2,27.270061,-32.658548,7,surfac,method,mesh,algorithm,model
727,Quantitative Texton Sequences for Legible Bivariate Maps,"Ware, C.",3,2,6,1,8,-8.280969,-21.04101,3,inform,displai,map,space,color
728,Sampling and Visualizing Creases with Scale-Space Particles,"Kindlmann, G.;Estepar, R.S.J.;Smith, S.;Westin, C.-F.",7,3,8,10,1,22.078929,-38.489841,7,surfac,method,mesh,algorithm,model
729,Scalable and Interactive Segmentation and Visualization of Neural Processes in EM Datasets,"Jeong, W.-K.;Beyer, J.;Hadwiger, M.;Vazquez, A.;Pfister, H.;Whitaker, R.T.",1,10,7,5,2,-37.025963,-55.403122,1,volum,render,imag,base,techniqu
730,Stress Tensor field Visualization for Implant Planning in Orthopedics,"Dick, C.;Georgii, J.;Burgkart, R.;Westermann, R.",1,8,3,2,9,-25.031135,-51.557149,1,volum,render,imag,base,techniqu
731,Structuring Feature Space: A Non-Parametric Method for Volumetric Transfer Function Generation,"Maciejewski, R.;Insoo Woo;Wei Chen;Ebert, D.S.",5,1,8,2,3,-41.589712,29.274406,5,interact,user,explor,method,view
732,Supercubes: A High-Level Primitive for Diamond Hierarchies,"Weiss, K.;De Floriani, L.",7,4,9,6,1,9.319839,-43.432964,7,surfac,method,mesh,algorithm,model
733,The Occlusion Spectrum for Volume Classification and Visualization,"Correa, C.;Kwan-Liu Ma",1,8,6,5,3,-32.459488,-48.486603,1,volum,render,imag,base,techniqu
734,Time and Streak Surfaces for Flow Visualization in Large Time-Varying Data Sets,"Krishnan, H.;Garth, C.;Joy, K.I.",7,8,1,2,3,27.937524,-53.970273,7,surfac,method,mesh,algorithm,model
735,Verifiable Visualization for Isosurface Extraction,"Etiene, T.;Scheidegger, C.E.;Nonato, L.G.;Kirby, R.M.;Silva, C.T.",6,7,1,8,3,-16.126255,-4.731432,6,set,techniqu,larg,present,task
736,VisMashup: Streamlining the Creation of Custom Visualization Applications,"Santos, E.;Lins, L.;Ahrens, J.;Freire, J.;Silva, C.T.",10,2,6,5,1,18.548497,36.25814,10,system,interact,user,inform,explor
737,Visual Exploration of Climate Variability Changes Using Wavelet Analysis,"J??nicke, H.;Bottinger, M.;Mikolajewicz, U.;Scheuermann, G.",9,5,6,1,2,35.799632,4.603545,9,model,simul,interact,base,view
738,Visual Exploration of Nasal Airflow,"Zachow, S.;Muigg, P.;Hildebrandt, T.;Doleisch, H.;Hege, H.-C.",9,3,8,1,5,25.984303,-0.766307,9,model,simul,interact,base,view
739,Visual Human+Machine Learning,"Fuchs, R.;Waser, J.;Groller, E.",5,10,1,2,6,-23.460652,44.292564,5,interact,user,explor,method,view
740,Visualization and Exploration of Temporal Trend Relationships in Multivariate Time-Varying Data,Teng-Yok Lee;Han-Wei Shen,6,5,2,9,7,-30.621881,-8.712431,6,set,techniqu,larg,present,task
741,Volume Illustration of Muscle from Diffusion Tensor Images,"Wei Chen;Zhicheng Yan;Song Zhang;Crow, J.A.;Ebert, D.S.;McLaughlin, R.M.;Mullins, K.B.;Cooper, R.;Zi'ang Ding;Jun Liao",8,1,4,2,3,69.371688,-14.238394,8,field,flow,vector,method,tensor
742,Volume Ray Casting with Peak finding and Differential Sampling,"Knoll, A.;Hijazi, Y.;Westerteiger, R.;Schott, M.;Hansen, C.;Hagen, H.",1,2,3,4,5,-46.496672,-53.475985,1,volum,render,imag,base,techniqu
743,Interactive visual clustering of large collections of trajectories,"Andrienko, G.;Andrienko, N.;Rinzivillo, S.;Nanni, M.;Pedreschi, D.;Giannotti, F.",5,7,1,2,3,-48.690498,37.126348,5,interact,user,explor,method,view
744,Proximity-based visualization of movement trace data,"Crnovrsanin, T.;Muelder, C.;Correa, C.;Kwan-Liu Ma",5,3,8,7,6,-40.155042,33.962032,5,interact,user,explor,method,view
745,Guided analysis of hurricane trends using statistical processes integrated with interactive parallel coordinates,"Steed, C.A.;Swan, J.E.;Jankun-Kelly, T.J.;Fitzpatrick, P.J.",10,6,9,5,1,4.241048,50.545465,10,system,interact,user,inform,explor
746,Finding comparable temporal categorical records: A similarity measure with an interactive visualization,"Wongsuphasawat, K.;Shneiderman, B.",5,6,10,2,1,-23.523325,37.088311,5,interact,user,explor,method,view
